"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"11212","SHKEL","EQ","S H KELKAR AND COMPANY LIMITED",0.01,1,"","",0,10,"INE500L01026",336.25,156.61,362.9,47.5,"","","",0,0,0,223.15,148.76,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SHK"
"11214","NOITOL","BE","NOIDA TOLL BRIDGE COMPANY LTD",0.01,1,"","",0,10,"INE781B01015",23.97,3.52,85.2,2.3,"","","",0,0,0,3.8,3.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NOIDATOLL"
"11217","TIMGUA","BE","TIMES GUARANTY LTD",0.01,1,"","",0,10,"INE289C01025",214.99,86.1,214.99,2.6,"","","",0,0,0,178.54,161.53,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TIMESGTY"
"11220","VARACR","EQ","VARDHMAN ACRYLICS LIMITED",0.01,1,"","",0,10,"INE116G01013",69.3,38.8,84.2,2.7,"","","",0,0,0,51.32,34.21,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","VARDHACRLC"
"11222","MAKENE","ST","MAKS ENERGY SOLUTIONS IND LTD",0.01,1,"","",0,10,"INE0CDK01019",0,0,118,19.85,"","","",0,0,0,29.25,26.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MAKS"
"11223","UCOBAN","EQ","UCO BANK",0.01,1,"","",0,10,"INE691A01018",62.35,34.01,152.4,8.4,"","","",0,0,0,44.71,29.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","UCOBANK"
"11224","UGRND7","N5","10.15% UGRO Cap Ltd. Mar 24",0.01,1,"","",0,1000,"INE583D07299",319.15,213,1024.9,806.1,"","","",0,0,0,1206,804,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","UGROCAP"
"11227","UGRND8","N6","10.35% UGRO Cap Ltd. Dec 24",0.01,1,"","",0,1000,"INE583D07307",0,0,1100,890,"","","",0,0,0,1189.2,792.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","1035UCL24"
"11230","UGRND9","N7","10.5% UGRO Cap Ltd. Sep 25",0.01,1,"","",0,1000,"INE583D07315",0,0,1199,850,"","","",0,0,0,1212,808,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","1050UCL25"
"11233","SUVLIF","EQ","SUVEN LIFE SCIENCES LIMITED",0.01,1,"","",0,1,"INE495B01038",169.3,82.95,311.86,8.75,"","","",0,0,0,146.4,97.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SUVEN"
